,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros
70,세종,0,1,3,17434515,"1,092",-,6000000,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-HOT한 인기기업-매출 1000대 기업-인크루트 인증 우수기업
71,세종,0,1,1,4499319,418,5928,4933250,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
72,세종,0,1,1,53059,295,-,500,성장판 열린 회사-구직자 인기기업-인크루트 인증 우수기업-공기업 in 서울
73,세종,2,1,1,53059,295,-,500,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-아침을 왜 굶어요?-평균연봉 6천이상-지방에 위치한 대기업-자기계발비 지원 기업-보너스로 행복해요♥-내 출퇴근은 내 맘대로-아낌없이 주는 커피-아이와 함께 출근해요-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-육아휴직 제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
74,세종,4,3,1,53059,295,-,500,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-아침을 왜 굶어요?-평균연봉 6천이상-지방에 위치한 대기업-자기계발비 지원 기업-보너스로 행복해요♥-내 출퇴근은 내 맘대로-아낌없이 주는 커피-아이와 함께 출근해요-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-육아휴직 제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
75,세종,0,2,1,32557976,551,5136,82000,구직자 인기기업-매출 1000대 기업-인크루트 인증 우수기업
76,세종,3,3,3,242448298,"1,510",5851,7473814,안정적인 장수 회사-구직자 인기기업-매출 1조 클럽-평균연봉 6천이상-매출 1000대 기업-대기업 in 서울-KOSPI 상장
77,세종,0,0,3,211411300,"13,343",11230,338139200,구직자 인기기업-복지의 끝판왕-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
78,세종,0,2,3,211411300,"13,343",-,338139200,성장판 열린 회사-구직자 인기기업-복지의 끝판왕-평균연봉 6천이상-보너스로 행복해요♥-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
79,세종,4,3,3,92194123,"3,033",3277,2400000,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-육아휴직 제공 기업
80,경기,4,3,3,14876421,"4,249",3457,63590,성장판 열린 회사-복지의 끝판왕-장기근속수당제공 기업
81,경기,4,3,2,180908204,"2,036",9516,7781959,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-잘나가는 의료·바이오기업-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
82,경기,0,3,2,201310,-,3674,1000,
83,경기,4,1,2,201310,-,-,1000,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-보너스로 행복해요♥-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
84,경기,0,1,2,201310,-,-,1000,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-HOT한 인기기업-매출 1000대 기업-인크루트 인증 우수기업
85,경기,0,3,3,32879127,"3,241",5739,208129,성장판 열린 회사-채용에 적극적인 회사-HOT한 인기기업-지방에 위치한 대기업
86,경기,0,3,2,2547000000,"18,000",-,-,안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업
87,경기,0,1,1,4499319,418,5928,4933250,안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
88,경기,0,3,1,-,-,-,-,구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업
