,region,cpname,title,career,education,jobtype,cptype,sales,aversalary,employees,capital,pros
37,전북,한국사회적기업진흥원,2024년 한국사회적기업진흥원 일반직(사무행정) 및 기능직(비서 총무) 직원 채용,신입/경력(연차무관),학력무관,정규직,소기업,"723억 1,737만원 (2022)",130 명 재직중,"5,341만원
자세히보기","57억 8,339만원",우수기업-성장판 열린 회사-채용에 적극적인 회사-인크루트 인증 우수기업
38,전북,한국마사회,2024년도 한국마사회 신입사원 채용공고,신입/경력(연차무관),학력무관,정규직,대기업,"6조 4,310억 4,669만원 (2022)","2,473 명 재직중","2,683만원
자세히보기","1조 5,000억원",1000대-안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업----
39,전남,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
40,전남,한국사회적기업진흥원,2024년 한국사회적기업진흥원 일반직(사무행정) 및 기능직(비서 총무) 직원 채용,신입/경력(연차무관),학력무관,정규직,소기업,"723억 1,737만원 (2022)",130 명 재직중,"5,341만원
자세히보기","57억 8,339만원",우수기업-성장판 열린 회사-채용에 적극적인 회사-인크루트 인증 우수기업
41,전남,여수광양항만공사,2024년 1차 청년인턴(체험형) 및 일반직 직원 채용 공고,신입/경력(연차무관),학력무관,정규직외,중기업,"1,397억 8,460만원 (2022)",214 명 재직중,"6,753만원
자세히보기","1조 5,523억 3,543만원",우수기업-성장판 열린 회사-채용에 적극적인 회사-인크루트 인증 우수기업
42,경북,한국사회적기업진흥원,2024년 한국사회적기업진흥원 일반직(사무행정) 및 기능직(비서 총무) 직원 채용,신입/경력(연차무관),학력무관,정규직,소기업,"723억 1,737만원 (2022)",130 명 재직중,"5,341만원
자세히보기","57억 8,339만원",우수기업-성장판 열린 회사-채용에 적극적인 회사-인크루트 인증 우수기업
43,경북,한국마사회,2024년도 한국마사회 신입사원 채용공고,신입/경력(연차무관),학력무관,정규직,대기업,"6조 4,310억 4,669만원 (2022)","2,473 명 재직중","2,683만원
자세히보기","1조 5,000억원",1000대-안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-빵빵한 구내식당
44,경북,코레일관광개발(주),2024년 2차 공개경쟁 채용 모집공고,신입/경력(연차무관),학력무관,정규직외,대기업,"6조 4,310억 4,669만원 (2022)","2,473 명 재직중","2,683만원
자세히보기","1조 5,000억원",한국철도공사그룹-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업-공기업 in 서울
45,경남,(주)씨티알,CTR 구매 (영산) 신입/경력 채용,신입/경력3년↑,대졸이상,정규직외,중견기업,"6,783억 2,059만원 (2022)",565 명 재직중,"6,441만원
자세히보기","51억 9,314만원",1000대-안정적인 장수 회사-성장판 열린 회사-평균연봉 6천이상-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-
46,경남,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
47,경남,(주)씨티알,CTR 총무 (창원) 신입/경력 채용,신입/경력3년↑,대졸이상,정규직외,중견기업,"6,783억 2,059만원 (2022)",565 명 재직중,"6,441만원
자세히보기","51억 9,314만원",1000대-안정적인 장수 회사-성장판 열린 회사-평균연봉 6천이상-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-
48,제주,한국사회적기업진흥원,2024년 한국사회적기업진흥원 일반직(사무행정) 및 기능직(비서 총무) 직원 채용,신입/경력(연차무관),학력무관,정규직,소기업,"723억 1,737만원 (2022)",130 명 재직중,"5,341만원
자세히보기","57억 8,339만원",우수기업-성장판 열린 회사-채용에 적극적인 회사-인크루트 인증 우수기업
49,제주,한국마사회,2024년도 한국마사회 신입사원 채용공고,신입/경력(연차무관),학력무관,정규직,대기업,"6조 4,310억 4,669만원 (2022)","2,473 명 재직중","2,683만원
자세히보기","1조 5,000억원",1000대-안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-빵빵한 구내식당
50,제주,한국해양교통안전공단,"신규직원(정규직, 공무직 및 계약직) 채용 공고(제2차)",신입/경력(연차무관),초대졸이상,정규직외,중기업,"402억 9,196만원 (2017)",386 명 재직중,"5,769만원
자세히보기","3억 2,881만원",우수기업-인크루트 인증 우수기업-휴식까지 챙겨줘요!
