,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
34,울산,(주)KCC,[KCC]2024년 3월 대졸 신입사원 수시채용,신입,대졸이상,정규직,대기업,"2조 9,995억 1,659만원 (2023)","3,603 명 재직중",-,"480억 8,466만원",1000대-KCC그룹-안정적인 장수 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-대기업 in 서울-KOSPI 상장
35,세종,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
36,세종,농림수산식품교육문화정보원,2024년 제2차 직원 채용공고,신입/경력(연차무관),학력무관,계약직외,중기업,"1,318억 4,883만원 (2019)",170 명 재직중,"4,608만원
자세히보기","25억 9,936만원",우수기업-구직자 인기기업-인크루트 인증 우수기업
37,세종,삼성전자판매(주),갤럭시 컨설턴트 채용 (충청/경상권),신입/경력(연차무관),학력무관,계약직,대기업,"3조 4,462억 6,273만원 (2022)","3,897 명 재직중","7,218만원
자세히보기","176억 6,660만원",1000대-삼성그룹-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-
38,세종,고려대학교,[세종] 세종국제교육팀 일반운영직 직원 채용 공고,신입/경력(연차무관),학력무관,계약직,소기업,"2,979억 4,107만원 (2018)",40 명 재직중,"3,942만원
자세히보기","1,043억 8,874만원",성장판 열린 회사
39,세종,한국수목원정원관리원,2024년 한국수목원정원관리원 정원사업 기간제 근로자 공개채용 공고,신입/경력(연차무관),학력무관,계약직,중소기업,"824억 8,823만원 (2022)",433 명 재직중,"4,395만원
자세히보기",100만원,우수기업-성장판 열린 회사-구직자 인기기업-거침없이 성장하는 회사-인크루트 인증 우수기업
40,경기,(주)영원무역,3월 경력/신입 상시채용공고,신입/경력(연차무관),고졸,계약직,중소기업,"824억 8,823만원 (2022)",433 명 재직중,-,100만원,1000대-KOSPI-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업---
41,경기,(주)케이티,[KT] 2024년 KT 대졸신입 채용,신입,대졸이상,정규직,대기업,"18조 3,714억 3,700만원 (2023)","19,824 명 재직중","7,656만원
자세히보기","1조 5,644억 9,900만원",1000대-KT그룹-안정적인 장수 회사-구직자 인기기업-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
42,경기,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
43,경기,동두천드림파워(주),2024년 동두천드림파워(주) 신입사원 채용,신입,학력무관,정규직,중견기업,"2조 2,402억 2,749만원 (2022)",92 명 재직중,"6,854만원
자세히보기","3,811억 2,757만원",1000대-한국전력공사그룹-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-평균연봉 6천이상-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
44,경기,한국무역보험공사,한국무역보험공사 2024년 상반기 체험형 청년인턴 채용,신입/경력(연차무관),학력무관,인턴,중견기업,-,756 명 재직중,"6,664만원
자세히보기","1조 7,801억 3,480만원",우수기업-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
45,강원,(주)GS동해전력,GS동해전력 채용연계형 인턴사원 채용,신입/경력(연차무관),초대졸이상,인턴,대기업,"1조 499억 5,123만원 (2022)",130 명 재직중,"7,447만원
자세히보기","6,000억원",1000대-GS그룹-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
46,강원,한국국제협력단,2024년 일반직 및 사회형평적 신입직원 채용 공고,신입/경력(연차무관),학력무관,정규직,대기업,"1조 499억 5,123만원 (2022)",130 명 재직중,-,"6,000억원",1000대-안정적인 장수 회사-구직자 인기기업-복지의 끝판왕-매출 1000대 기업-인크루트 인증 우수기업-빵빵한 구내식당
47,강원,코레일관광개발(주),2024년 2차 공개경쟁 채용 모집공고,신입/경력(연차무관),학력무관,정규직외,대기업,"1조 499억 5,123만원 (2022)",130 명 재직중,-,"6,000억원",한국철도공사그룹-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업-공기업 in 서울
48,강원,우리은행,[강동강원] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","7,469만원
자세히보기","3조 3,813억 9,200만원",KOSPI-우수기업-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
49,강원,한국가스안전공사,2024년 한국가스안전공사 정규직 채용 공고,신입/경력(연차무관),학력무관,정규직외,대기업,"1,764억 7,847만원 (2016)","1,265 명 재직중","6,315만원
자세히보기","551억 4,154만원",공기업공공기관-안정적인 장수 회사-구직자 인기기업-지방에 위치한 대기업
