,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros
35,세종,4,3,3,84775653,409,7177,6771334,1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
36,세종,0,2,1,13184883,170,4608,259936,우수기업-구직자 인기기업-인크루트 인증 우수기업
37,세종,0,2,3,344626273,"3,897",7218,1766660,1000대-삼성그룹-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-
38,세종,0,2,0,29794107,40,3942,10438874,성장판 열린 회사
39,세종,0,2,1,8248823,433,4395,100,우수기업-성장판 열린 회사-구직자 인기기업-거침없이 성장하는 회사-인크루트 인증 우수기업
40,경기,1,2,1,8248823,433,-,100,1000대-KOSPI-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업---
41,경기,4,3,3,1837143700,"19,824",7656,156449900,1000대-KT그룹-안정적인 장수 회사-구직자 인기기업-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
42,경기,4,3,3,84775653,409,7177,6771334,1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
43,경기,0,3,2,224022749,92,6854,38112757,1000대-한국전력공사그룹-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-평균연봉 6천이상-거침없이 성장하는 회사-매출 1000대 기업-장기근속수당제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
44,경기,0,1,2,,756,6664,178013480,우수기업-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
45,강원,3,1,3,14995123,130,7447,60000000,1000대-GS그룹-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
